id,drug_name,reaction_term,case_count,drug_total,reaction_total,grand_total,prr,ror,prr_chi_square,signal_status,confidence,first_detected_date,last_updated,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
163,YESCARTA,IMMUNE EFFECTOR CELL-ASSOCIATED NEUROTOXICITY SYNDROME,58,58,58,20864371,897.8703,909.4842,42724.6783,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.13793103448275862,9,9,True,passes_robust_filter,990.2431656026667
164,VALPROIC ACID,HYPERAMMONAEMIC ENCEPHALOPATHY,94,94,94,20864371,357.5753,361.3502,28660.3871,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0851063829787234,17,17,True,passes_robust_filter,990.1029332005369
165,RIVAROXABAN,GASTROINTESTINAL HAEMORRHAGE,3554,3554,3554,20864371,35.2026,36.8604,104622.5822,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9991558806978053,0.27490151941474394,37,37,True,passes_robust_filter,988.7484735591413
166,JAKAVI,TRANSFORMATION TO ACUTE MYELOID LEUKAEMIA,49,49,49,20864371,207.1358,208.0427,8862.2383,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.40816326530612246,22,22,True,passes_robust_filter,985.2176021923979
167,NEXAVAR,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,291,291,291,20864371,79.1867,81.2642,21477.5263,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9725085910652921,0.2646048109965636,35,35,True,passes_robust_filter,983.9803328450973
168,ORKAMBI,INFECTIVE PULMONARY EXACERBATION OF CYSTIC FIBROSIS,343,343,343,20864371,279.803,307.8386,90485.4452,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.8542274052478134,0.011661807580174927,15,15,True,passes_robust_filter,982.662416142053
169,PEMBROLIZUMAB,IMMUNE-MEDIATED ADVERSE REACTION,69,69,69,20864371,431.4731,435.7451,25501.1384,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.028985507246376812,20,20,True,passes_robust_filter,982.2115864963655
170,HEMLIBRA,HAEMARTHROSIS,70,70,70,20864371,548.2382,578.8346,36429.7075,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9857142857142858,0.0,17,17,True,passes_robust_filter,982.0325533614356
171,FULVESTRANT,BREAST CANCER METASTATIC,155,155,155,20864371,144.6555,147.4819,20812.699,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9935483870967742,0.1870967741935484,26,26,True,passes_robust_filter,981.5832273529877
172,BISMUTH METRONIDAZOLE TETRACYCLIN,TOXIC ENCEPHALOPATHY,7,7,7,20864371,2150.9937,2621.3049,12918.927,STRONG_SIGNAL,MEDIUM,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,1.0,6,6,True,passes_robust_filter,977.7646198911622
173,KEYTRUDA,IMMUNE-MEDIATED ADVERSE REACTION,119,119,119,20864371,315.6246,317.6623,28912.8364,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9915966386554622,0.06722689075630252,17,17,True,passes_robust_filter,976.3814453595738
174,STIVARGA,HEPATOCELLULAR CARCINOMA,210,210,210,20864371,115.2358,117.6103,22395.3402,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.20476190476190476,27,27,True,passes_robust_filter,975.9436886068594
175,SOFOSBUVIR,GENOTYPE DRUG RESISTANCE TEST POSITIVE,82,82,82,20864371,607.7869,621.6197,44320.8784,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.012195121951219513,13,13,True,passes_robust_filter,973.8355513325398
176,CYTARABINE,ACUTE MYELOID LEUKAEMIA RECURRENT,64,64,64,20864371,128.693,129.2329,7297.0837,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.640625,19,19,True,passes_robust_filter,972.079522368129
177,ADCETRIS,ANAPLASTIC LARGE-CELL LYMPHOMA,21,21,21,20864371,1446.1375,1457.0383,24194.4856,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.5238095238095238,6,6,True,passes_robust_filter,971.8107697720825
178,CUROSURF,NEONATAL HYPOXIA,58,58,58,20864371,8939.9574,10656.7108,441420.1532,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.017241379310344827,3,3,True,passes_robust_filter,970.37873616785
179,IMATINIB,CHRONIC MYELOID LEUKAEMIA,110,110,110,20864371,176.0132,177.9261,17468.6092,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.13636363636363635,28,28,True,passes_robust_filter,967.6833010349168
180,HUMAN IMMUNOGLOBULIN INN,DRUG INEFFECTIVE FOR UNAPPROVED INDICATION,41,41,41,20864371,136.0446,149.6153,5349.8616,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9512195121951219,0.8048780487804879,18,18,True,passes_robust_filter,966.9679460098916
181,ZOMETA,OSTEONECROSIS OF JAW,448,448,448,20864371,115.2238,120.4503,47923.1024,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9821428571428571,0.03571428571428571,28,28,True,passes_robust_filter,963.86207073515
182,JAKAVI,SPLENOMEGALY,171,171,171,20864371,79.3582,80.5747,12617.6435,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.2807017543859649,43,43,True,passes_robust_filter,963.3119146593791
183,BUSULFAN,VENOOCCLUSIVE LIVER DISEASE,88,88,88,20864371,176.5796,179.9979,14619.8148,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.4318181818181818,15,15,True,passes_robust_filter,959.5676944715542
184,ZANTAC,RENAL CANCER,3784,3784,3784,20864371,345.3729,369.0541,657536.3824,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.0459830866807611,4,4,True,passes_robust_filter,959.2236561720271
185,ORFADIN,AMINO ACID LEVEL INCREASED,29,29,29,20864371,7705.2846,8106.4053,177372.322,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.5172413793103449,0.0,9,9,True,passes_robust_filter,957.1573866475999
186,STIVARGA,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,330,330,330,20864371,98.465,101.6869,30275.9281,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,0.9303030303030303,0.1606060606060606,30,30,True,passes_robust_filter,955.737449720974
187,DOLUTEGRAVIR,VIROLOGIC FAILURE,190,190,190,20864371,273.6826,285.695,48491.5284,STRONG_SIGNAL,HIGH,2026-06-29,2026-06-29T23:27:37.130252+00:00,1.0,0.010526315789473684,16,16,True,passes_robust_filter,955.6453461661341
