drug_name,reaction_term,case_count,prr,ror,prr_chi_square,serious_ratio,death_ratio,countries_count,source_proxy_count,passes_robust_filter,artifact_reason,robust_signal_score
PULMOZYME,INFECTIVE PULMONARY EXACERBATION OF CYSTIC FIBROSIS,607,231.3177,249.3545,127222.3327,0.8056013179571664,0.011532125205930808,11,11,True,passes_robust_filter,876.4461192138954
AMIODARONE HCL,PULMONARY TOXICITY,85,199.3329,203.5088,15949.4957,1.0,0.2823529411764706,14,14,True,passes_robust_filter,872.3969382016652
EYLEA,BLINDNESS TRANSIENT,256,188.9325,191.9978,41651.9726,1.0,0.00390625,16,16,True,passes_robust_filter,871.5927733839853
DUODOPA,FREEZING PHENOMENON,246,123.262,124.3934,25642.93,0.983739837398374,0.10569105691056911,21,21,True,passes_robust_filter,870.9787673922002
PRAXBIND,HAEMORRHAGE INTRACRANIAL,36,122.1166,126.1725,4178.1687,1.0,0.75,18,18,True,passes_robust_filter,867.8777605935189
ADVATE,FACTOR VIII INHIBITION,32,1526.4999,1557.5929,42311.4359,1.0,0.0,9,9,True,passes_robust_filter,867.8498374140523
BELIMUMAB,LUPUS NEPHRITIS,44,1025.3428,1055.1321,40881.5164,1.0,0.022727272727272728,9,9,True,passes_robust_filter,865.5168469318157
RIBAVIRIN,GENOTYPE DRUG RESISTANCE TEST POSITIVE,96,282.4022,285.2933,23619.9147,0.9895833333333334,0.010416666666666666,18,18,True,passes_robust_filter,865.0621910340376
DOLUTEGRAVIR,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME,97,176.4912,180.3547,16138.3839,1.0,0.16494845360824742,19,19,True,passes_robust_filter,861.899395201512
FLUDARABINE,ACUTE GRAFT VERSUS HOST DISEASE IN SKIN,75,200.0591,201.6607,13444.9778,1.0,0.16,20,20,True,passes_robust_filter,861.7061158121041
ALCOHOL,DRUG ABUSE,279,52.5092,56.9013,13942.5227,1.0,0.7849462365591398,13,13,True,passes_robust_filter,857.5115444676126
MIRENA,DEVICE USE ISSUE,805,152.07,154.9335,91697.8377,0.42732919254658386,0.0012422360248447205,33,33,True,passes_robust_filter,857.1466417426193
GILOTRIF,EGFR GENE MUTATION,35,927.818,934.6703,25973.9453,1.0,0.02857142857142857,11,11,True,passes_robust_filter,856.4262401145837
TRAMETINIB,METASTATIC MALIGNANT MELANOMA,38,194.9316,196.8477,6889.2411,1.0,0.631578947368421,12,12,True,passes_robust_filter,855.698292304737
VALGANCICLOVIR,CYTOMEGALOVIRUS VIRAEMIA,102,214.1244,218.8176,20433.809,1.0,0.38235294117647056,9,9,True,passes_robust_filter,854.6253814913163
BETAMETHASONE,LOW BIRTH WEIGHT BABY,134,141.6866,145.2051,17913.5478,1.0,0.022388059701492536,30,30,True,passes_robust_filter,851.7506800399387
NUVARING,UNINTENDED PREGNANCY,110,239.8415,244.0277,24153.0619,1.0,0.0,19,19,True,passes_robust_filter,851.3144241765049
STIVARGA,COLORECTAL CANCER METASTATIC,41,190.59,191.3468,6894.2543,1.0,0.2926829268292683,23,23,True,passes_robust_filter,848.8176288191131
EMTRICITABINE,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME,78,255.2904,263.5308,18930.2648,1.0,0.1282051282051282,15,15,True,passes_robust_filter,845.6867494364432
GONAL F,OVARIAN HYPERSTIMULATION SYNDROME,22,3130.845,3740.1954,64438.4199,0.9545454545454546,0.0,7,7,True,passes_robust_filter,843.9384259787191
ESMERON,ANAPHYLACTIC SHOCK,66,313.9517,360.6821,20131.8224,1.0,0.15151515151515152,12,12,True,passes_robust_filter,841.6566896860185
JAKAVI,SECOND PRIMARY MALIGNANCY,183,84.7374,86.1301,14407.5777,1.0,0.21311475409836064,27,27,True,passes_robust_filter,838.4040540900324
GANCICLOVIR,CYTOMEGALOVIRUS VIRAEMIA,81,200.6608,204.8172,15309.5839,1.0,0.5308641975308642,8,8,True,passes_robust_filter,838.0183694443664
CUROSURF,BRADYCARDIA NEONATAL,31,4158.8499,4550.623,116388.77,1.0,0.06451612903225806,4,4,True,passes_robust_filter,833.5749540118085
FACTOR VIII RECOMBINANT INN,FACTOR VIII INHIBITION,7,21308.7884,30630.9459,125651.0818,1.0,0.0,6,6,True,passes_robust_filter,833.2060307814951
PROPOFOL,PROPOFOL INFUSION SYNDROME,30,531.0494,533.2856,12984.9745,1.0,0.4,8,8,True,passes_robust_filter,832.8926472587655
THIOTEPA,ACUTE GRAFT VERSUS HOST DISEASE,50,276.5127,281.2111,12940.9922,1.0,0.3,12,12,True,passes_robust_filter,832.3756294682395
TACROLIMUS,TRANSPLANT REJECTION,382,64.4087,65.0258,21188.9415,0.9973821989528796,0.10732984293193717,36,36,True,passes_robust_filter,832.2380763211864
RALTEGRAVIR,VIROLOGIC FAILURE,94,322.1507,339.4604,28957.1438,1.0,0.0,14,14,True,passes_robust_filter,830.8933281832553
LAMIVUDINE,IMMUNE RECONSTITUTION INFLAMMATORY SYNDROME,169,119.3497,121.0496,18456.9711,1.0,0.15384615384615385,20,20,True,passes_robust_filter,830.4598267213258
STAVUDINE,LIPODYSTROPHY ACQUIRED,49,756.9047,787.3146,34647.6213,1.0,0.0,10,10,True,passes_robust_filter,829.7185627681777
ZIDOVUDINE,PATHOGEN RESISTANCE,163,156.9731,163.3274,24349.3767,1.0,0.018404907975460124,21,21,True,passes_robust_filter,829.2804668982121
WARFARIN,INTERNATIONAL NORMALISED RATIO INCREASED,1228,50.8244,51.7665,51610.2429,0.8737785016286646,0.07899022801302931,38,38,True,passes_robust_filter,829.0637346943437
ELLAONE,UNINTENDED PREGNANCY,21,1653.2088,1890.8553,32613.8412,1.0,0.0,10,10,True,passes_robust_filter,828.941424352608
CINRYZE,HEREDITARY ANGIOEDEMA,179,1203.5816,1509.7866,203562.7018,0.3854748603351955,0.00558659217877095,8,8,True,passes_robust_filter,827.5503105964445
FORXIGA,EUGLYCAEMIC DIABETIC KETOACIDOSIS,74,218.4272,222.2663,15125.0576,0.9864864864864865,0.02702702702702703,24,24,True,passes_robust_filter,826.832612058059
SANDOSTATIN LAR DEPOT,NEUROENDOCRINE TUMOUR,58,126.0324,126.4176,6345.4512,1.0,0.46551724137931033,18,18,True,passes_robust_filter,826.3810306453395
PULMOZYME,CYSTIC FIBROSIS,434,302.9302,319.467,116219.4379,0.9493087557603687,0.016129032258064516,7,7,True,passes_robust_filter,825.7308498317327
CARBON DIOXIDE GENERIC,AIR EMBOLISM,6,53044.9602,75778.086,254485.6044,0.8333333333333334,0.3333333333333333,3,3,True,passes_robust_filter,824.3263760847788
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,DEATH,1937,25.3214,35.8278,45421.1088,1.0,1.0,9,9,True,passes_robust_filter,822.2285011724534
BETAMETHASONE,PREMATURE BABY,241,83.2345,87.0087,19090.3756,0.995850622406639,0.04564315352697095,36,36,True,passes_robust_filter,821.1890950679496
LUCENTIS,DIABETIC RETINAL OEDEMA,53,771.2563,776.8219,31420.3335,0.9811320754716981,0.018867924528301886,9,9,True,passes_robust_filter,820.7458192798333
VECTIBIX,COLORECTAL CANCER METASTATIC,26,295.1901,297.0754,6931.3133,1.0,0.38461538461538464,15,15,True,passes_robust_filter,820.4868739782451
MIRENA,OFF LABEL USE OF DEVICE,126,295.7285,296.5892,22739.5499,0.6428571428571429,0.0,23,23,True,passes_robust_filter,820.0822259051599
MIRENA,IDIOPATHIC INTRACRANIAL HYPERTENSION,316,230.7163,232.4061,48697.7814,1.0,0.0,10,10,True,passes_robust_filter,820.0809126104166
EYLEA,BLINDNESS UNILATERAL,290,112.5411,114.6065,29420.3438,0.996551724137931,0.0,24,24,True,passes_robust_filter,819.5838060819426
HEPSERA,OSTEOMALACIA,23,1750.4863,1803.571,36118.6183,1.0,0.0,9,9,True,passes_robust_filter,819.5472575866031
